url;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5;Url
71048;school;rook-perfumes;UK;unisex;2,68;28;2021.0;concrete, woody notes, ozonic notes, moss;rubber, paper, olibanum;coffee, cedar;nadeem crowe;;rubber;mineral;paper;woody;;71048
62601;visionair-midnight-blue;michael-malul-london;USA;men;2,71;42;2020.0;watermelon, lavender, bergamot;lotus, jasmine;musk, sandalwood, amber;unknown;;ozonic;aquatic;lavender;citrus;floral;62601
41727;malbec-sport;o-boticario;Brazil;men;2,72;299;2016.0;nutmeg, cardamom, lime, bergamot, mandarin orange, juniper;lavender, geranium, head space waterfall, sage;leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean;francisco marano;;leather;fresh spicy;warm spicy;woody;aromatic;41727
67616;cyber-sex;filippo-sorcinelli;Italy;unisex;2,74;70;2021.0;juniper berries, pink grapefruit, mandarin orange, neroli;rosemary, spices, cyclamen, lavender, almond blossom;ambrette (musk mallow), vetiver, cedar, precious woods, vanilla, tonka bean;unknown;;aromatic;fresh spicy;woody;citrus;musky;67616
60637;oud-imperium;navitus-parfums;UAE;unisex;2,81;62;2019.0;apple, lavender, lemon;jasmine, vanilla, woody notes, lily-of-the-valley;agarwood (oud), amber, tonka bean, sandalwood, cypriol oil or nagarmotha, musk, guaiac wood;christian carbonnel;;woody;vanilla;amber;powdery;oud;60637
49353;vetiver;franck-boclet;France;unisex;2,81;32;2018.0;bergamot, lemon, orange;vetiver, orange blossom, lily-of-the-valley, rose, jasmine;vetiver, musk, sandalwood, cedar, chive;bruno herve;;citrus;white floral;woody;aromatic;musky;49353
66074;cristina-la-veneno-veneno-pa-tu-piel;ricardo-ramos-perfumes-de-autor;Spain;unisex;2,82;55;2020.0;tonic water, gin, berry fruits;vinyl, blood, saffron, turkish rose;madagascar vanilla, musk, galbanum, sandalwood;jorge lee;ricardo ramos;vinyl;mineral;metallic;aromatic;;66074
90649;quickie-and-coffee;filippo-sorcinelli;Italy;unisex;2,82;33;2024.0;coffee, honey, pine;animal notes, saffron, marine notes, jasmine;musk, ambrette, amber;filippo sorcinelli;;musky;warm spicy;animalic;coffee;powdery;90649
64328;aventhis;in-the-box;Brazil;men;2,83;65;2019.0;bergamot, pineapple, apple, black currant leaf;birch, patchouli, red berries, jasmine;oakmoss, musk, amber, vanilla;unknown;;fruity;mossy;woody;earthy;citrus;64328
90277;212-heroes-collector-edition;carolina-herrera;USA;men;2,84;31;2023.0;pear, cannabis, lemon zest, ginger;african geranium;leather, woodsy notes;unknown;;leather;woody;aromatic;citrus;cannabis;90277
74152;wild-carrot-oud;bohoboco;Poland;unisex;2,85;147;2022.0;carrot, cinnamon, bergamot;agarwood (oud), dry wood, cedar, tobacco;earthy notes, leather, styrax;unknown;;earthy;woody;powdery;oud;soft spicy;74152
20475;titaniks;dzintars;Latvia;men;2,86;56;2000.0;watery notes, bergamot, grapefruit;seaweed, myrtle, iris;pine tree, woody notes, amber;unknown;;aromatic;woody;aquatic;marine;fresh spicy;20475
58431;neroli;aaron-terence-hughes;UK;unisex;2,86;29;2019.0;neroli;jasmine sambac;sandalwood;aaron terence hughes;;white floral;citrus;woody;floral;fresh;58431
89177;neroli-outrenoir-2024;guerlain;France;unisex;2,89;27;2024.0;petitgrain, bergamot, lemon, tangerine, grapefruit;tea, neroli, earthy notes, orange blossom, smoke;benzoin, vanilla, ambrette (musk mallow), myrrh, moss;delphine jelk;thierry wasser;citrus;green;white floral;fresh spicy;aromatic;89177
13289;santal-rouge;il-profvmo;Italy;men;2,9;30;2011.0;bitter orange;sandalwood, carnation, red berries;clove, brazilian rosewood;unknown;;woody;warm spicy;powdery;citrus;balsamic;13289
60636;oud-luxuria;navitus-parfums;UAE;unisex;2,91;69;2019.0;turkish rose, saffron, leather, red berries, orange, cinnamon;geranium, rose, jasmine, osmanthus;agarwood (oud), incense, musk, labdanum, amber;christian carbonnel;;rose;fresh spicy;oud;warm spicy;amber;60636
68505;whispers-of-temptation;house-of-sillage;USA;unisex;2,92;37;2021.0;black currant, plum, cardamom;saffron, rose petals, night blooming jasmine;suede, agarwood (oud), australian sandalwood;unknown;;fruity;oud;woody;warm spicy;leather;68505
64003;dodo-edition-2020;zoologist-perfumes;Canada;unisex;2,93;237;2020.0;rosemary, petitgrain, bergamot, pink pepper;black currant, pineapple, clary sage, cardamom;cumin, basil, lavender, musk, geranium, oakmoss, patchouli, tonka bean, oak;yves cassar;;fresh spicy;aromatic;fruity;woody;sweet;64003
66489;spring-bloom;brocard;Russia;unisex;2,93;42;2021.0;citruses, green notes, watery notes, mint;peony, apple, rose, lily-of-the-valley, plum;musk, woody notes, amber;unknown;;fresh;green;floral;rose;musky;66489
45293;laaurora;ricardo-ramos-perfumes-de-autor;Spain;unisex;2,93;29;2017.0;bergamot, cardamom, violet;turkish rose, atlas cedar, carnation;olibanum, gurjan balsam, cashmere musk;jorge lee;;warm spicy;citrus;aromatic;rose;fresh spicy;45293
81972;desir-infini;navitus-parfums;UAE;unisex;2,94;34;2023.0;italian lemon, red fruits;geranium, saffron;woodsy notes, oud, leather, smoke, amber;bertrand duchaufour;;woody;smoky;leather;oud;fresh spicy;81972
55432;cafe;franck-boclet;France;unisex;2,94;197;2019.0;coffee, bergamot, lemon;lily, rosemary, orange blossom, rose;moss, patchouli, sandalwood, vanilla, amber, cedar, vetiver;bruno herve;;woody;warm spicy;earthy;white floral;coffee;55432
23908;1-million;paco-rabanne;Spain;men;2,95;149;2014.0;blood orange, grapefruit, mint;cinnamon, spices, rose;leather, amber, white woods, patchouli;unknown;;citrus;warm spicy;cinnamon;leather;woody;23908
88939;new-look-2024;dior;France;unisex;2,96;395;2024.0;aldehydes;frankincense;amber;francis kurkdjian;;amber;aldehydic;fresh;fresh spicy;soapy;88939
49354;flowers;franck-boclet;France;unisex;2,96;56;2018.0;basil, lime, bergamot;lily-of-the-valley, neroli, tuberose, rose;ylang-ylang, musk, sandalwood;bruno herve;;white floral;green;fresh;fresh spicy;citrus;49354
67617;popper-pop;filippo-sorcinelli;Italy;unisex;2,96;48;2021.0;sweet almond, red apple, mint, nashi pear;orchid, magnolia, davana, pitosporum;woody notes;unknown;;fruity;almond;floral;sweet;nutty;67617
75864;campus;molinard;France;unisex;2,97;34;2022.0;pineapple, apple, lemon;geranium, lavender, sandalwood;patchouli, amberwood, musk;unknown;;fruity;fresh spicy;aromatic;woody;lavender;75864
50252;veneno;miguel-matos;Portugal;unisex;2,97;31;2018.0;narcissus, cypriol oil or nagarmotha, saffron, osmanthus;cade oil, civet, patchouli, lily-of-the-valley, amber, rose;peru balsam, costus, musk, ambrette (musk mallow), oakmoss, tonka bean;christian carbonnel;;woody;musky;amber;earthy;balsamic;50252
67618;slightly-b-tch;filippo-sorcinelli;Italy;unisex;2,97;34;2021.0;leather, clementine, mint, bitter orange, green almond;ylang-ylang, artemisia, hawthorn, labdanum;cedar, pine tree;unknown;;yellow floral;sweet;woody;aromatic;fresh spicy;67618
55431;egeo-on-you;o-boticario;Brazil;unisex;2,99;136;2019.0;mint, eucalyptus, cardamom, pineapple, bergamot, peach, melon;fenugreek, woody notes, sage, green leaves, lavender, galbanum;milk, vetiver, benzoin, sandalwood, amber, musk;david apel;;aromatic;woody;fresh spicy;green;warm spicy;55431
85231;wild-orange;fragrance-du-bois;France;unisex;3;28;2023.0;orange, mandarin orange, lemon, bergamot;orange blossom, lily of the valley, cypress;sandal, cedar, patchouli, vetiver;shadi samra;;citrus;white floral;woody;sweet;fresh;85231
13419;success;trump;USA;men;3,01;483;2011.0;juniper, coriander, red currant;bamboo, ginger, geranium;birch, vetiver, musk, tonka bean;yann vasnier;;aromatic;woody;fresh spicy;leather;warm spicy;13419
89055;synthetic-nature;frederic-malle;France;unisex;3,02;58;2024.0;black currant, lily of the valley, basil;jasmine, hyacinth, ylang ylang;patchouli;anne flipo;;white floral;fruity;green;fresh spicy;floral;89055
64734;pearl;arabesque-perfumes;UAE;unisex;3,02;95;2020.0;green apple, guava;sweet notes, tonka bean, peach, orange;white musk, white flowers, vanilla;luz vaquero;;sweet;fruity;musky;powdery;vanilla;64734
88700;sweet-sin;vivamor-parfums;France;unisex;3,02;40;2023.0;peach, dried apricot;rum, benzoin, tonka bean;indonesian patchouli leaf, madagascar vanilla, white musk;bertrand duchaufour;pierre flores;fruity;sweet;warm spicy;patchouli;amber;88700
30438;sankai-black;bi-es;Poland;men;3,03;34;;lemon, orange leaf, pineapple;lavender, geranium, clary sage, lily-of-the-valley, rose;musk, sandalwood, cedar;unknown;;aromatic;fresh spicy;citrus;lavender;woody;30438
39646;forest-oud;the-dua-brand;USA;unisex;3,03;36;;pine needles, grass;palisander rosewood;amber, agarwood (oud);mahsam raza;;woody;green;aromatic;amber;conifer;39646
66873;wood-flake;j-scent;Japan;unisex;3,03;38;2019.0;hinoki wood, cedar;vetiver, rose;guaiac wood, vanilla, musk, sandalwood;unknown;;woody;powdery;vanilla;aromatic;musky;66873
19218;glacier-athletic;oriflame;Sweden;men;3,04;48;2008.0;orange, lemon, sea water, bergamot;artemisia, cardamom;sandalwood, guaiac wood, amber, tonka bean;philippe bousseton;;citrus;aromatic;woody;herbal;fresh spicy;19218
83094;away-weekend-man;abercrombie-fitch;USA;men;3,05;41;2023.0;bergamot, apple, cardamom, clementine;lavender, clary sage, cypress, rosemary;atlas cedar, patchouli, cacao;claude dir;;aromatic;woody;fresh spicy;citrus;lavender;83094
14906;sepia;aftelier;USA;unisex;3,06;33;2012.0;mandarin orange, grapefruit, cedar;jasmine, big strawberry, coffee, cacao, lotus;ambergris, white tobacco, boletus edulis, indole, agarwood (oud), labdanum;mandy aftel;;white floral;amber;animalic;citrus;woody;14906
46026;rives;ellis-brooklyn;USA;unisex;3,06;174;2017.0;neroli, petitgrain;lavender, orange blossom;cashmere wood, white suede;jerome epinette;;white floral;citrus;lavender;aromatic;musky;46026
58575;shisha-lounge;ricardo-ramos-perfumes-de-autor;Spain;unisex;3,07;42;2019.0;anise, red fruits, hazelnut, neroli;tobacco, labdanum, oakmoss, patchouli;amber, madagascar vanilla, tonka bean, musk;jorge lee;;sweet;amber;anis;soft spicy;tobacco;58575
59408;filth;aaron-terence-hughes;UK;unisex;3,07;43;2020.0;gardenia, jasmine sambac;amber, dark chocolate;leather, patchouli, natural musk;aaron terence hughes;;leather;animalic;amber;warm spicy;patchouli;59408
90202;dragon;boadicea-the-victorious;UK;unisex;3,07;30;2024.0;cinnamon, saffron;incense, magnolia, amber;cashmere musk, vanilla;unknown;;amber;warm spicy;smoky;floral;balsamic;90202
84717;deep-dark-vanilla;ds-durga;USA;unisex;3,08;160;2023.0;cabreuva, orchid, pink pepper;cypress, vanilla leaves, vine;dark patchouli, vanilla absolute, hay;david seth moltz;;green;vanilla;woody;fresh spicy;sweet;84717
89328;d-red-by-diesel;diesel;Italy;unisex;3,08;108;2024.0;blood grapefruit;lavender;sandalwood;unknown;;lavender;citrus;woody;aromatic;fresh spicy;89328
81908;a-oud-ancienne;rogue-perfumery;USA;unisex;3,08;49;2022.0;agarwood, cypress;castoreum, amyris, labdanum;oakmoss, ylang ylang, bitter almond;unknown;;woody;oud;aromatic;leather;smoky;81908
83897;men-brahma;o-boticario;Brazil;men;3,09;32;2023.0;eucalyptus, lemon, black pepper, bergamot;elemi, artemisia, sage, cardamom;amber, musk, cedar, patchouli, vetiver;tamara mannina;;aromatic;woody;fresh spicy;citrus;warm spicy;83897
68100;yucatan-secret;comptoir-sud-pacifique;France;unisex;3,09;44;2021.0;watermelon, bergamot;absinthe, lavender;sandalwood, cashmere wood, amber;thomas fontaine;;ozonic;aquatic;woody;aromatic;lavender;68100
70108;champagne-royale;navitus-parfums;UAE;unisex;3,09;33;2021.0;ginger, champagne, sicilian lemon, italian mandarin;plum, iris, geranium, ceylon cinnamon, nutmeg, cypress;balsam fir, leather, virginia cedar, guaiac wood;julien rasquinet;;warm spicy;citrus;woody;fresh spicy;aromatic;70108
46227;lamborghini;jequiti;Brazil;men;3,09;32;2017.0;green notes, bergamot, pineapple, lime;cedar, apple, lily-of-the-valley;musk, vanilla, ambergris;alfredo monteiro filho;leandro petit;woody;aromatic;warm spicy;patchouli;citrus;46227
8664;revelation;cb-i-hate-perfume;USA;unisex;3,09;33;2006.0;fig leaf;white honey, spices;cypress, virginia cedar, french labdanum, amber;christopher brosius;;woody;green;honey;fresh;sweet;8664
65855;floral-musk;attar-collection;UAE;unisex;3,09;361;2021.0;tagetes, jasmine;caramel, amber;white musk, moss, lily-of-the-valley;unknown;;musky;caramel;sweet;amber;powdery;65855
89897;muna;lattafa-perfumes;UAE;unisex;3,1;30;2022.0;watermelon, strawberry;cyclamen, magnolia, peony, damask rose;musk, woody notes;unknown;;floral;musky;fresh;rose;woody;89897
24807;e-l;zarkoperfume;Denmark;unisex;3,1;311;2013.0;white flowers, pomegranate;sea notes, green notes, green tea;white musk, white woods;unknown;;green;marine;aromatic;woody;white floral;24807
695;fcuk-him;fcuk;UK;men;3,1;406;2004.0;lavender, rosemary, basil;tea, sage;vanilla, patchouli;geza schoen;;aromatic;fresh spicy;lavender;herbal;green;695
26542;ehsas;al-haramain-perfumes;UAE;unisex;3,11;28;;musk, ambergris, woody notes, rose, white flowers, citruses, spicy notes;musk, ambergris, woody notes, aldehydes, lily-of-the-valley, sea notes, geranium, artemisia;musk, ambergris, rose, sandalwood, tonka bean, moss, guaiac wood;unknown;;woody;musky;amber;white floral;powdery;26542
71654;phantom-legion;paco-rabanne;Spain;men;3,11;213;2022.0;lemon zest, lavender, lemon;patchouli, smoke, lavender, earthy notes, apple;vanilla, lavender, vetiver;unknown;;citrus;earthy;woody;aromatic;patchouli;71654
88588;vanilla-sex;tom-ford;USA;unisex;3,11;1539;2023.0;bitter almond;vanilla, floral notes;vanilla absolute, ultravanil�, tonka bean, sandalwood;unknown;;vanilla;almond;sweet;nutty;powdery;88588
66490;sea-sparkle;brocard;Russia;unisex;3,11;57;2021.0;sea water, citruses, ozonic notes;melon, jasmine, herbal notes;ambergris;cyrill rolland;;ozonic;marine;aquatic;fresh;citrus;66490
88390;wednesday;house-of-sillage;USA;unisex;3,11;28;2023.0;black pepper, elemi resin, saffron;turkish rose, rose, magnolia;patchouli, vetiver, agarwood;unknown;;rose;patchouli;warm spicy;woody;fresh spicy;88390
74807;gourmand-bakhoor-dehn-al-oud;jousset-parfums;France;unisex;3,11;28;2022.0;caramel, vanilla, amaretto;almond, cacao, honey;agarwood (oud);jimmy bodin;;almond;vanilla;caramel;sweet;oud;74807
14870;presenze;hilde-soliani;Italy;unisex;3,12;26;2012.0;bergamot;jasmine, lily-of-the-valley, patchouli;vetiver, amber, vanilla;hilde soliani;;white floral;woody;aromatic;citrus;amber;14870
80395;deja-vu;teo-cabanel;France;unisex;3,12;104;2023.0;bubble gum, raspberry, citron;iris, jasmine sambac, orange blossom;white leather, white musk;patrice revillard;;fruity;iris;sweet;powdery;citrus;80395
1809;active-water;sergio-tacchini;Italy;men;3,12;34;2005.0;caraway, white musk;cedar, egyptian pelargonium, sandalwood;juniper berries, bergamot;unknown;;aromatic;woody;fresh spicy;powdery;citrus;1809
60635;opulentas;navitus-parfums;UAE;unisex;3,12;51;2020.0;apple, lemon, pink pepper;agarwood (oud), cypriol oil or nagarmotha, rose, patchouli;woody notes, amber, oakmoss;christian carbonnel;;woody;oud;earthy;rose;fruity;60635
88641;h2eau-golden-citrus;clean;USA;unisex;3,13;39;2023.0;mandarin orange, water notes, bergamot;neroli, orange blossom;musk;unknown;;citrus;white floral;aquatic;fresh;fresh spicy;88641
45294;al-misk;ricardo-ramos-perfumes-de-autor;Spain;unisex;3,13;31;2017.0;copaiba balm, bergamot, absinthe;black pepper, magnolia, mace;guaiac wood, musk, gurjan balsam;jorge lee;;woody;fresh spicy;musky;powdery;citrus;45294
73554;sirenis;les-liquides-imaginaires;France;unisex;3,14;216;2022.0;clary sage, bergamot, cardamom;genet, flowers, sandalwood;musk, moss, amber, vetiver, patchouli;marion costero;sonia constant;musky;aromatic;floral;woody;powdery;73554
61872;poggia;tiziana-terenzi;Italy;unisex;3,14;116;2020.0;bergamot, lemon, peach, orange;ylang-ylang, rosemary, turkish rose, passionfruit, green apple;musk, ambergris, vanilla;paolo terenzi;;citrus;aromatic;fresh spicy;sweet;musky;61872
77653;t-shelby;calaj;Romania;unisex;3,14;49;2022.0;pineapple, lemon, bergamot, grapefruit;ozonic notes, myrtle, cassia, orange blossom;seaweed, earthy notes, ambergris, oakmoss, melon, incense, cedar;flavius calaj;;ozonic;earthy;amber;aromatic;marine;77653
83687;cashmere-kush;boy-smells;USA;unisex;3,14;59;2022.0;rhubarb, pink pepper, aldehydes;orris, heliotrope, tulip;cashmere wood, ambroxan, musk, vetiver;unknown;;musky;amber;woody;powdery;iris;83687
61803;fortuna;electimuss;UK;unisex;3,14;59;2020.0;saffron, grapefruit;lily-of-the-valley, rose, geranium;agarwood (oud), musk, patchouli, vetiver;sofia bardelli;;rose;white floral;fresh spicy;oud;aromatic;61803
78498;egeo-choc-mint;o-boticario;Brazil;unisex;3,15;110;2022.0;basil, mint, ginger, bergamot;sage, geranium, lavender, chocolate, davana, cinnamon;patchouli, cedar, cashmeran, tonka bean;unknown;;aromatic;fresh spicy;green;warm spicy;woody;78498
75963;dominant;antonio-maretti;Italy;men;3,15;33;2022.0;apple, lemon, cardamom;tarragon, sage, geranium;oakmoss, vanilla, cashmere wood;cristian calabro;;aromatic;herbal;soft spicy;anis;mossy;75963
71609;paper;commodity;USA;unisex;3,16;279;;iso e super;cedar;sandalwood;unknown;;woody;musky;powdery;amber;;71609
78860;zest-z-t;borntostandout;South Korea;unisex;3,16;55;2022.0;gin, juniper, lemon verbena, pink pepper, guatemalan cardamom;coriander, clary sage, black pepper;elemi, patchouli, virginia cedar;honorine blanc;;aromatic;woody;fresh spicy;soft spicy;herbal;78860
81653;urbane;vivamor-parfums;France;unisex;3,16;32;2022.0;grapefruit, pink pepper, brazilian orange, bergamot, lemon;cardamom, lavender, neroli, gin;amber, sandalwood, musk;chris maurice;;citrus;aromatic;warm spicy;soft spicy;amber;81653
31466;goji;l-erbolario;Italy;unisex;3,16;58;2015.0;almond, italian lemon, calabrian bergamot;goji berries, iris, french rose, star anise;patchouli, vanila, vetiver;unknown;;iris;powdery;fruity;earthy;woody;31466
71297;aventus-oil;creed;France;men;3,17;36;2021.0;pineapple, bergamot, black currant, apple;birch, patchouli, jasmine, rose;oakmoss, musk, ambergris, vanilla;unknown;;woody;fruity;mossy;earthy;leather;71297
63913;more-is-more;wilgermain;Spain;unisex;3,17;30;2020.0;chinese osmanthus, clary sage, davana;rose water, broom, leather;haitian vetiver, ambrette (musk mallow), singapore patchouli;rodrigo flores-roux;;aromatic;floral;rose;yellow floral;soft spicy;63913
78338;slytherin-parfum;house-of-sillage;USA;unisex;3,17;40;2022.0;grapefruit, bergamot, cardamom;tobacco, black rose, clary sage;patchouli, australian sandalwood, musk;unknown;;citrus;woody;warm spicy;patchouli;aromatic;78338
67265;the-lawyer;zarkoperfume;Denmark;unisex;3,17;112;2020.0;bergamot, mandarin orange, lemon;spices, dark chocolate, white orchid;resins, sandalwood, musk;zarko ahlmann pavlov;;citrus;amber;woody;warm spicy;powdery;67265
87597;bonne-etoile-baby-dior;dior;France;unisex;3,18;28;2023.0;green pear;wild rose;white musk;francis kurkdjian;;musky;powdery;;;;87597
73514;habit-rouge-l-instinct;guerlain;France;men;3,18;247;2022.0;green notes, grapefruit, bergamot;cannabis, mate, red rose;leather, patchouli, vanilla;delphine jelk;;green;citrus;aromatic;cannabis;fresh spicy;73514
92469;neroli-portofino-parfum;tom-ford;USA;unisex;3,18;101;2024.0;neroli, bergamot, blood orange, lemon;tunisian neroli, clary sage, jasmine sambac, pitosporum;sylkolide, musk, amber;unknown;;citrus;musky;white floral;amber;aromatic;92469
31413;life-is-now-for-him;mexx;Netherlands;men;3,18;39;2015.0;cardamom, bergamot, pineapple, apple;sea notes, lavender, freesia;sandalwood, patchouli;unknown;;aromatic;warm spicy;woody;fruity;marine;31413
78936;pineapple;max-philip;France;unisex;3,18;51;2022.0;pineapple, pineapple leaf;coconut, patchouli, orange blossom;vanilla, sandalwood;unknown;;sweet;woody;vanilla;coconut;fruity;78936
65980;xi-an;guerlain;France;unisex;3,19;31;2021.0;bamboo;floral notes;sandalwood;thierry wasser;;woody;floral;powdery;warm spicy;;65980
49269;hyrax;zoologist-perfumes;Canada;unisex;3,19;717;2018.0;saffron, elemi, pink pepper, turkish rose;hyrax, whiskey, styrax, hyacinth;castoreum, civet, amber, benzoin, patchouli, sandalwood, tonka bean;sven pritzkoleit;;musky;amber;animalic;leather;woody;49269
56879;zwinger;rammstein;Germany;men;3,19;32;2019.0;animal notes;animal notes;animal notes;alexandre illan;;animalic;musky;;;;56879
63876;amabile;xerjoff;Italy;unisex;3,2;384;2020.0;green apple, amalfi lemon, calabrian bergamot, orange blossom;guatemalan cardamom, pink pepper, jasmine;mexican vanilla, atlas cedar, white musk, patchouli;chris maurice;;citrus;warm spicy;woody;aromatic;white floral;63876
60798;velvet-amber;fragrance-du-bois;France;unisex;3,2;45;2020.0;geranium, lemon, cardamom, bergamot;leather, cypriol oil or nagarmotha, saffron, rose;cypriol oil or nagarmotha, agarwood (oud), patchouli, amber, sandalwood, musk, vanilla;christian carbonnel;;woody;leather;warm spicy;earthy;fresh spicy;60798
29557;paper;commodity;USA;men;3,21;33;2013.0;iso e super;amber;sandalwood;donna ramanauskas;;woody;amber;musky;powdery;;29557
53327;dodo;zoologist-perfumes;Canada;unisex;3,21;405;2019.0;fern, litchi, lime, raspberry;ambergris, balsam fir, geranium, rose;oakmoss, musk, sandalwood, patchouli, amber;joseph delapp;;aromatic;fresh spicy;woody;amber;fruity;53327
88898;collapse-of-hedonism-krakh-gedonizma;khaikin;Russia;unisex;3,21;43;2023.0;cognac, smoke, metallic notes;dark chocolate, leather, rose, smoke;dried plum, immortelle, vetiver, texas cedar, ambergris, ash;kirill khaikin;;woody;sweet;warm spicy;smoky;fruity;88898
48624;moscow-waltz-moskovskij-val-s;ladanika;Russia;unisex;3,21;33;2018.0;raspberry, violet, freesia;damask rose, rose hip, lilac;white musk, iris, patchouli;eugene firsanov;;rose;floral;powdery;fruity;violet;48624
52196;ume;euphorium-brooklyn;USA;unisex;3,21;29;2018.0;plum, plum blossom, green tea, apricot, anise;oakmoss, yuzu, hinoki wood, incense, cedar;snow, earthy notes;unknown;;fruity;fresh;woody;earthy;floral;52196
64856;musk-makkah;el-nabil;France;unisex;3,21;38;;strawberry, raspberry;almond, cinnamon, vanilla;musk, amber;unknown;;fruity;sweet;musky;powdery;almond;64856
44128;cocaine;franck-boclet;France;unisex;3,21;2800;2017.0;caramel, tobacco, bitter orange, red berries;tuberose, lily, orchid;monoi oil, vanilla, patchouli;unknown;;white floral;tuberose;sweet;caramel;tropical;44128
82800;plumes;ds-durga;USA;unisex;3,22;49;2023.0;laurels, watery notes, coconut;frangipani, tuberose, jasmine, vine;vetyver, amyris, musk;unknown;;aromatic;white floral;woody;floral;tuberose;82800
87350;le-male-xmas-limited-edition;jean-paul-gaultier;France;men;3,22;83;2023.0;mint;lavender;vanilla;francis kurkdjian;;lavender;vanilla;aromatic;fresh spicy;green;87350
19217;glacier-ice;oriflame;Sweden;men;3,22;49;2010.0;bergamot, tangerine, apple;cypress, lemongrass, ivy;cedar, oakmoss, guaiac wood;marie salamagne;;citrus;woody;fresh spicy;fruity;aromatic;19217
56644;malta;thera-cosmeticos;Brazil;men;3,22;41;2018.0;sea notes, bergamot;rosemary, sage, geranium;incense, patchouli;m�rio torri neto;;aromatic;marine;amber;smoky;warm spicy;56644
58235;sagira;spirit-of-kings;UK;unisex;3,22;32;2019.0;grapefruit, peach, mandarin orange, toffee;violet, damask rose, rose, patchouli;musk, moss;christian provenzano;;citrus;powdery;violet;rose;patchouli;58235
77016;cologne-de-la-terre;bortnikoff;Thailand;unisex;3,22;27;2022.0;bergamot, litsea cubeba, pear;green apple, beeswax, saffron;ambergris, natural musk, sandalwood;dmitry bortnikoff;;citrus;fruity;fresh spicy;fresh;amber;77016
91687;perle-imperiale;guerlain;France;unisex;3,23;40;2024.0;bergamot;fig, powdery notes;sandalwood, leather, myrrh;thierry wasser;;powdery;woody;fruity;leather;citrus;91687
38661;lotus-oud;lotus;Iran;unisex;3,23;26;2016.0;agarwood (oud), palisander rosewood, cardamom;vetiver, sandalwood;tonka bean, amber;alberto morillas;;woody;amber;warm spicy;aromatic;oud;38661
1074;mexx-waterlove-man;mexx;Netherlands;men;3,23;31;2004.0;pineapple, melon, lime, bergamot, apple;violet, lily-of-the-valley, jasmine;peach, precious woods, amber, vanilla;benoist lapouza;;white floral;citrus;fruity;fresh;sweet;1074
